City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,ternate,0.8,127.4,80.31,80,97,6.29,ID,1738627629
84,linqu,36.5156,118.5397,22.6,39,0,3.53,CN,1738627630
85,islamkot,24.6997,70.177,57.9,26,1,9.84,PK,1738627633
86,yerofey pavlovich,53.9667,121.9667,-27.44,96,32,3.74,RU,1738627634
87,mirabad,30.4362,61.8383,45.05,35,0,3.87,AF,1738627635
88,kulhudhuffushi,6.6221,73.07,81.36,75,28,6.62,MV,1738627636
89,newnham,-41.3833,147.1333,81.55,54,80,10.36,AU,1738627637
90,tqvarch'eli,42.8404,41.6801,45.95,57,99,4.05,GE,1738627638
91,nadi,-17.8,177.4167,84.2,74,75,8.05,FJ,1738627460
92,luanda,-8.8368,13.2343,80.62,75,74,7.02,AO,1738627642
93,la ronge,55.1001,-105.2842,-8.79,90,95,8.88,CA,1738627643
94,jayapura,-2.5333,140.7,78.19,96,100,3.47,ID,1738627644
95,barra do garcas,-15.89,-52.2567,69.3,99,100,3.74,BR,1738627645
96,bandarbeyla,9.4942,50.8122,70.75,70,67,23.22,SO,1738627646
97,port mathurin,-19.6833,63.4167,81.07,83,36,10.36,MU,1738627592
98,aasiaat,68.7098,-52.8699,-3.46,93,100,9.26,GL,1738627648
99,vorgashor,67.5833,63.95,-17.54,97,32,4.88,RU,1738627649
100,vila franca do campo,37.7167,-25.4333,64.89,99,100,8.39,PT,1738627650
101,mhamid,29.82,-5.72,53.8,25,0,5.17,MA,1738627651
102,anadyr,64.75,177.4833,30.7,86,20,31.32,RU,1738627628
103,chonchi,-42.6128,-73.8092,55.11,94,100,1.79,CL,1738627654
104,punta del este,-34.9667,-54.95,82.51,95,0,11.99,UY,1738627655
105,sola,-13.8833,167.55,86.67,79,100,5.75,VU,1738627656
106,longyearbyen,78.2186,15.6401,30.04,59,20,9.22,SJ,1738627556
107,stanley,54.868,-1.6985,48.22,79,97,17.27,GB,1738627408
108,puerto baquerizo moreno,-0.9,-89.6,76.75,83,31,5.26,EC,1738627660
109,minas de marcona,-15.2119,-75.1103,65.86,76,42,11.43,PE,1738627661
110,sitka,57.0531,-135.33,37.29,28,0,0.0,US,1738627662
111,koryazhma,61.3143,47.1691,19.92,97,100,3.89,RU,1738627663
112,iqaluit,63.7506,-68.5145,-25.31,60,0,2.3,CA,1738627665
113,balurghat,25.2167,88.7667,58.93,52,0,5.28,IN,1738627666
114,atasu,48.6814,71.6433,8.98,82,5,9.71,KZ,1738627667
115,pontes e lacerda,-15.2261,-59.3353,76.19,85,68,4.79,BR,1738627668
116,avarua,-21.2078,-159.775,86.05,74,54,9.22,CK,1738627666
117,san luis de la loma,17.2706,-100.8939,80.92,66,0,4.59,MX,1738627670
118,hasaki,35.7333,140.8333,46.89,53,79,12.55,JP,1738627672
119,tuy hoa,13.0833,109.3,70.72,89,97,12.15,VN,1738627673
120,katabu,-4.9333,122.5167,78.91,88,100,2.06,ID,1738627675
121,semnan,35.5729,53.3971,36.55,49,25,2.66,IR,1738627676
122,sittwe,20.15,92.9,64.94,50,4,7.16,MM,1738627677
123,east ballina,-28.8667,153.5833,78.08,69,100,5.97,AU,1738627678
124,san patricio,28.017,-97.5169,75.15,79,45,12.1,US,1738627679
125,myeik,12.4333,98.6,72.05,87,3,4.56,MM,1738627680
126,shingu,33.7333,135.9833,37.83,55,0,16.53,JP,1738627681
127,kapuskasing,49.4169,-82.4331,9.7,88,100,9.22,CA,1738627682
128,alpena,45.0617,-83.4327,26.92,89,100,8.05,US,1738627683
129,saipan,15.1355,145.701,88.5,55,0,12.66,MP,1738627684
130,alaghsas,17.0187,8.0168,69.28,13,85,11.23,NE,1738627687
131,namibe,-15.1961,12.1522,75.2,77,100,2.3,AO,1738627688
132,lubang,13.8584,120.124,79.12,79,40,13.94,PH,1738627689
133,rizokarpaso,35.6,34.375,57.51,67,0,5.93,CY,1738627690
134,garwolin,51.8975,21.6147,32.31,89,98,3.0,PL,1738627691
135,augusta,48.3667,10.8833,29.75,93,100,0.0,DE,1738627692
136,lorengau,-2.0226,147.2712,85.78,64,100,6.33,PG,1738627693
137,chernyshevskiy,63.0128,112.4714,2.53,95,100,14.03,RU,1738627694
138,okhotsk,59.3833,143.3,-20.54,83,6,11.65,RU,1738627695
139,ilulissat,69.2167,-51.1,3.22,85,100,12.66,GL,1738627697
140,mahibadhoo,3.7833,72.9667,81.25,72,50,9.48,MV,1738627698
141,kalmunai,7.4167,81.8167,76.3,74,100,5.77,LK,1738627700
142,prince rupert,54.3161,-130.3201,20.34,38,0,8.08,CA,1738627701
143,ulladulla,-35.35,150.4667,82.53,53,1,10.96,AU,1738627702
144,trondheim,63.4305,10.3951,33.85,84,100,12.75,NO,1738627703
145,chibougamau,49.9168,-74.3659,17.22,79,100,18.41,CA,1738627704
146,tolanaro,-25.0319,46.9987,75.94,79,100,4.72,MG,1738627705
147,saskatoon,52.1168,-106.6345,-19.91,98,14,4.72,CA,1738627707
148,puerto penasco,31.3167,-113.5333,78.78,80,75,9.22,MX,1738627708
149,west island,-12.1568,96.8225,80.58,94,20,10.36,CC,1738627438
150,nova sintra,14.8667,-24.7167,71.04,68,52,24.81,CV,1738627710
151,hermanus,-34.4187,19.2345,57.79,75,0,5.41,ZA,1738627625
152,al ghayzah,16.2079,52.176,62.4,27,6,8.9,YE,1738627712
153,minden,52.2833,8.9167,31.46,88,63,4.61,DE,1738627713
154,jamestown,42.097,-79.2353,41.41,91,100,1.01,US,1738627714
155,inarajan village,13.2736,144.7484,83.39,83,84,16.91,GU,1738627718
156,mbandaka,0.0487,18.2603,76.93,72,100,4.72,CD,1738627719
157,yung shue wan,22.2333,114.1167,54.68,67,100,1.99,HK,1738627720
158,nar'yan-mar,67.6713,53.087,-10.39,90,45,9.44,RU,1738627721
159,tezu,27.9167,96.1667,58.44,54,0,3.94,IN,1738627722
160,tazovsky,67.4667,78.7,-28.26,100,100,3.22,RU,1738627723
161,olonkinbyen,70.9221,-8.7187,32.97,85,93,47.09,SJ,1738627724
162,tazacorte,28.629,-17.9293,63.57,80,75,11.5,ES,1738627727
163,waimanalo,21.35,-157.7208,80.51,58,40,10.36,US,1738627728
164,troitsko-pechorsk,62.7084,56.1964,2.21,96,100,9.75,RU,1738627729
165,kwang binh,17.4833,106.6,57.43,92,100,12.88,VN,1738627730
166,sale,34.0389,-6.8166,50.68,100,40,9.22,MA,1738627731
167,gedo,9.0167,37.45,53.76,58,83,3.89,ET,1738627732
168,freetown,8.484,-13.2299,76.32,74,57,3.91,SL,1738627733
169,omaruru,-21.4333,15.9333,71.83,70,80,4.38,NA,1738627736
170,yemanzhelinsk,54.7547,61.3208,15.76,98,87,5.84,RU,1738627737
171,zalari,53.5584,102.5065,-27.45,100,81,3.22,RU,1738627738
172,thompson,55.7435,-97.8558,-9.22,90,100,9.55,CA,1738627739
173,cabo san lucas,22.8909,-109.9124,79.11,27,0,12.66,MX,1738627740
174,juan griego,11.0817,-63.9655,76.78,84,35,12.44,VE,1738627741
175,wau,7.7029,27.9953,78.91,26,87,3.96,SS,1738627742
176,carnarvon,-24.8667,113.6333,84.96,53,35,14.56,AU,1738627743
177,georgetown,5.4112,100.3354,77.95,74,20,4.61,MY,1738627744
178,brush,40.2589,-103.6238,31.23,69,0,14.97,US,1738627745
179,remire-montjoly,4.9167,-52.2667,78.84,89,75,5.75,GF,1738627746
180,khanbari,27.3747,87.2039,51.04,57,2,1.07,NP,1738627748
181,huanggang,23.677,116.9996,52.45,72,100,3.91,CN,1738627749
182,bochum,51.4833,7.2167,34.25,87,67,4.12,DE,1738627750
183,lockwood,45.8191,-108.4149,0.41,80,100,12.66,US,1738627751
184,bamboo flat,11.7,92.7167,73.2,84,16,4.72,IN,1738627752
185,flying fish cove,-10.4217,105.6791,78.48,94,40,12.66,CX,1738627753
186,abra pampa,-22.7205,-65.697,59.67,38,0,13.44,AR,1738627754
187,nemuro,43.3236,145.575,30.99,91,100,42.66,JP,1738627755
188,smithers,54.7804,-127.1743,3.52,51,20,0.0,CA,1738627542
189,yuzhno-kurilsk,44.0306,145.8556,30.78,82,100,33.71,RU,1738627757
190,koungheul,13.9833,-14.8,66.79,12,7,10.31,SN,1738627758
191,tual,-5.6667,132.75,81.64,81,100,19.91,ID,1738627760
192,christchurch,-43.5333,172.6333,64.94,70,100,13.8,NZ,1738627761
193,beloyarskiy,63.7119,66.6722,-16.55,100,93,2.48,RU,1738627762
194,mount gambier,-37.8333,140.7667,73.09,54,58,11.45,AU,1738627763
195,catabola,-12.15,17.2833,62.01,97,100,2.53,AO,1738627764
196,keflavik,64.0049,-22.5624,37.83,65,40,32.21,IS,1738627765
197,prien,30.1819,-93.2738,73.42,91,100,10.36,US,1738627766
198,zouerate,22.7187,-12.4521,58.82,46,0,5.53,MR,1738627767
199,mil'kovo,55.6078,37.7956,29.62,67,33,4.41,RU,1738627768
200,kavaratti,10.5669,72.642,80.69,75,54,8.55,IN,1738627769
201,kargopol',61.5071,38.9456,7.56,96,100,2.86,RU,1738627770
202,nishinoomote,30.7333,131.0,41.56,81,75,13.8,JP,1738627772
203,pelaya,8.6882,-73.6645,86.22,44,99,9.78,CO,1738627773
204,wailua homesteads,22.0669,-159.378,78.13,63,0,11.5,US,1738627774
205,kikwit,-5.041,18.8162,73.11,83,100,1.95,CD,1738627775
206,port lincoln,-34.7333,135.8667,70.43,73,20,20.8,AU,1738627776
